Districts,X_COR,Y_COR
achham,-354.0,103.0
arghakhanchi,-128.0,-70.0
baglung,-112.0,-9.0
baitadi,-443.0,161.0
bajhang,-369.0,186.0
bajura,-322.0,162.0
banke,-290.0,-43.0
bara,114.0,-182.0
bardiya,-345.0,1.0
bhaktapur,162.0,-103.0
bhojpur,365.0,-170.0
chitwan,36.0,-115.0
dadeldhura,-459.0,118.0
dailekh,-316.0, 74.0
dang,-211.0,-69.0
darchula,-415.0,211.0
dhading,94.0,-74.0
dhankuta,391.0,-199.0
dhanusa,232.0,-224.0
dolakha,251.0,-85.0
dolpa,-148.0,113.0
doti,-414.0,109.0
gorkha,74.0,1.0
gulmi,-112.0,-43.0
humla,-304.0,240.0
ilam,454.0,-212.0
jajarkot,-264.0,67.0
jhapa,454.0,-256.0
jumla,-254.0,126.0
kailali,-428.0,50.0
kalikot,-313.0,114.0
kanchanpur,-489.0,71.0
kapilvastu,-171.0, -108.0
kaski,-45.0, -0.0
kathmandu,139.0, -93.0
kavrepalanchok, 171.0,-119.0
khotang,310.0,-169.0
lalitpur,142.0,-123.0
lamjung, 16.0,-10.0
mahottari,195.0,-215.0
makwanpur, 77.0,-120.0
manang,-18.0,45.0
morang,398.0,-250.0
mugu, -243.0,172.0
mustang,-61.0,87.0
myagdi, -114.0,28.0
nawalparasi,-43.0,-102.0
nuwakot, 112.0,-63.0
okhaldhunga,262.0,-149.0
palpa,-93.0,-77.0
panchthar,448.0,-171.0
parbat, -57.0,-22.0
parsa, 64.0,-151.0
pyuthan,-183.0,-37.0
ramechhap, 222.0,-129.0
rasuwa, 135.0,-23.0
rautahat,134.0,-184.0
rolpa, -215.0,2.0
rukum east, -188.0,49.0
rukum west, -273.0, 70.0
rupandehi,-110.0,-120.0
salyan,-264.0,-0.0
sankhuwasabha,359.0,-94.0
saptari,298.0,-250.0
sarlahi,159.0,-201.0
sindhuli,188.0,-155
sindhupalchok,172.0,-64.0
siraha, 253.0,-226.0
solukhumbu,288.0,-116.0
sunsari,360.0,-243.0
surkhet,-338.0,34.0
syangja,-59.0,-58.0
tanahu,-9.0,-57.0
taplejung,426.0,-114.0
terhathum, 409.0,-175.0
udayapur,282.0,-201.0
nawalpur,-63.0,-121.0
